id,expected_relative_path,create_date,sys_file_soft_deleted,delete_ts_date,ext,file_size,file_name_md5,file_name_length,reference_count,active_reference_count,soft_deleted_reference_count,reference_columns_count,reference_columns,found_elsewhere_active_storage_count,found_in_archive_count,classification,recommended_action,blocks_stage_3
4495794c-5f31-0146-a083-49f88d3779f0,2019/12/23/4495794c-5f31-0146-a083-49f88d3779f0.docx,2019-12-23,f,,docx,34037,528c3f0c1c75cbe3253535cd29e6137d,49,1,1,0,1,public.hunttech_candidate_cv.original_file_cv_id,0,0,E_ACTIVE_LINKED_FILE_MISSING,business_owner_decision_required_before_stage_3,yes
663933f7-9460-382d-0119-109cbbe979d0,2019/12/23/663933f7-9460-382d-0119-109cbbe979d0.zip,2019-12-23,f,,zip,854556,433409076e705ac4842ada21f5913982,12,1,1,0,1,public.hunttech_some_files.file_descriptor_id,0,0,E_ACTIVE_LINKED_FILE_MISSING,business_owner_decision_required_before_stage_3,yes
f6852813-edb6-374e-b348-0e33a0123bfe,2019/12/23/f6852813-edb6-374e-b348-0e33a0123bfe.pdf,2019-12-23,f,,pdf,474750,114a47ca938adf7df112561bfa41b78d,23,1,1,0,1,public.hunttech_candidate_cv.original_file_cv_id,0,0,E_ACTIVE_LINKED_FILE_MISSING,business_owner_decision_required_before_stage_3,yes
14b06fcc-1ba3-b916-b40e-ea409b714e8a,2019/12/24/14b06fcc-1ba3-b916-b40e-ea409b714e8a.pdf,2019-12-24,f,,pdf,471088,da4184ee540d4a077da6ac6674fac4c8,21,1,1,0,1,public.hunttech_candidate_cv.original_file_cv_id,0,0,E_ACTIVE_LINKED_FILE_MISSING,business_owner_decision_required_before_stage_3,yes
47ad6ade-2354-6dd5-fd27-f75f8bafb7c3,2019/12/24/47ad6ade-2354-6dd5-fd27-f75f8bafb7c3.pdf,2019-12-24,f,,pdf,110120,2d0e4610c2703ab236aef199fafeaa8e,47,1,1,0,1,public.hunttech_some_files.file_descriptor_id,0,0,E_ACTIVE_LINKED_FILE_MISSING,business_owner_decision_required_before_stage_3,yes
7df30ebe-d25d-150d-7497-f188ca1feacc,2019/12/24/7df30ebe-d25d-150d-7497-f188ca1feacc.pdf,2019-12-24,f,,pdf,240113,d6101e633f4566781192c0a3bcbcdbab,16,1,1,0,1,public.hunttech_some_files.file_descriptor_id,0,0,E_ACTIVE_LINKED_FILE_MISSING,business_owner_decision_required_before_stage_3,yes
8c943931-cf83-b732-f44a-fe378e0815fe,2019/12/24/8c943931-cf83-b732-f44a-fe378e0815fe.pdf,2019-12-24,f,,pdf,119679,364ad0c075eda1bae01542f83fa48718,39,1,1,0,1,public.hunttech_some_files.file_descriptor_id,0,0,E_ACTIVE_LINKED_FILE_MISSING,business_owner_decision_required_before_stage_3,yes
a6c2cc82-fdaf-361c-aaa5-aae287821364,2019/12/24/a6c2cc82-fdaf-361c-aaa5-aae287821364.pdf,2019-12-24,f,,pdf,121225,b4c96b508a207956018a43ec9c459d8a,47,1,1,0,1,public.hunttech_some_files.file_descriptor_id,0,0,E_ACTIVE_LINKED_FILE_MISSING,business_owner_decision_required_before_stage_3,yes
c9db4ea8-329f-a553-2b59-d8379faec9ac,2019/12/24/c9db4ea8-329f-a553-2b59-d8379faec9ac.pdf,2019-12-24,f,,pdf,19424,5de4c490771380cbc8d3613986a53845,50,1,1,0,1,public.hunttech_some_files.file_descriptor_id,0,0,E_ACTIVE_LINKED_FILE_MISSING,business_owner_decision_required_before_stage_3,yes
88f3caac-492c-bf99-907e-e5d2098aa186,2019/12/25/88f3caac-492c-bf99-907e-e5d2098aa186.docx,2019-12-25,f,,docx,30679,72ec3252d2e4b8f44c9f139ffa66aabe,28,1,1,0,1,public.hunttech_candidate_cv.original_file_cv_id,0,0,E_ACTIVE_LINKED_FILE_MISSING,business_owner_decision_required_before_stage_3,yes
bc1c40cc-f043-9d73-d20c-eca8fc3f2dfe,2019/12/26/bc1c40cc-f043-9d73-d20c-eca8fc3f2dfe.pdf,2019-12-26,f,,pdf,45888,619a5e50f0dec002d7b38b8799341278,16,1,1,0,1,public.hunttech_candidate_cv.original_file_cv_id,0,0,E_ACTIVE_LINKED_FILE_MISSING,business_owner_decision_required_before_stage_3,yes
16a02691-63d3-60a6-8f64-5e537778f7bd,2019/12/27/16a02691-63d3-60a6-8f64-5e537778f7bd.pdf,2019-12-27,f,,pdf,2274285,ea456e8442aef9c052295fe104cbfd20,41,1,1,0,1,public.hunttech_some_files.file_descriptor_id,0,0,E_ACTIVE_LINKED_FILE_MISSING,business_owner_decision_required_before_stage_3,yes
8c4457a6-c009-f332-da53-9e8e137e5016,2019/12/27/8c4457a6-c009-f332-da53-9e8e137e5016.pdf,2019-12-27,f,,pdf,286975,6a5e5f2fcad09df8406661a9dc12bf96,23,1,1,0,1,public.hunttech_candidate_cv.original_file_cv_id,0,0,E_ACTIVE_LINKED_FILE_MISSING,business_owner_decision_required_before_stage_3,yes
d21c5d84-cffc-72e9-4718-083ddfff491c,2019/12/27/d21c5d84-cffc-72e9-4718-083ddfff491c.pdf,2019-12-27,f,,pdf,76891,811e87d868a678fffe414193f0d31cb9,26,1,1,0,1,public.hunttech_candidate_cv.original_file_cv_id,0,0,E_ACTIVE_LINKED_FILE_MISSING,business_owner_decision_required_before_stage_3,yes
5ad9f021-fcd9-125b-eeb1-4c09e34da84f,2020/01/13/5ad9f021-fcd9-125b-eeb1-4c09e34da84f.pdf,2020-01-13,f,,pdf,357003,9b525aa666b1ddb5adf822249be6ac0e,35,1,1,0,1,public.hunttech_candidate_cv.original_file_cv_id,0,0,E_ACTIVE_LINKED_FILE_MISSING,business_owner_decision_required_before_stage_3,yes
